restaurant,aspect,sentence_count,tf_summary,mmr_summary
Lankan Cafe,price,7,nice food nice place price ok well food nice price bit expensive,enjoyed food price reasonable good family love buffet spread go place paal appam rm buffet come crab mutton chicken side vegetable desert worth money must try lump rice sri lankan version nasi lemak
Define:Food,food,25,food good portion big match price paying nice environment thanks delicious food,nice ambience cosy place food good must try risotto mushroom soup salted duck egg pasta food presentation good match food quality almost dish salty carbonara pasta big breakfast chicken burger fry make u want drink water like review understand food presentation good match food quality almost dish salty carbonara pasta big breakfast chicken burger fry make u want drink water like review understand charge rm pax drinking water high price tag restaurant could much better food quality
Define:Food,service,50,food nice service good good service good environment good food,food quality equivalent price staff friendly food nice service good
Define:Food,atmosphere,8,great food good ambience nice ambience good food,love atmosphere vibrant lovely love food great food good ambience
Define:Food,price,10,good food good price nice feel good food reasonable price,good food good price nice feel good place hangout friend bit expensive
"Dolly Dim Sum, NU Sentral",food,38,fried chicken surprisingly good dim sum delicious good service food delicious,one best halal dim sum fav dish szechuan dumpling chewy meat croquette salted fish fried rice steamed chicken sweet sour beancurd skin roll dessert salted egg custard bun good service food delicious
"Dolly Dim Sum, NU Sentral",service,26,quality food service nice food service,extremely delicious place eat dim sum enjoyed dinner lot atmosphere great service staff friendly service oriented extremely delicious place eat dim sum enjoyed dinner lot atmosphere great service staff friendly service oriented food quality usual dim sum place dolly dim sum definitely worth visit even purpose travel nu sentral shopping mall come loved taste quality food fully recommended fast service good food
"Dolly Dim Sum, NU Sentral",atmosphere,6,environment ok good place dine favorite place dimsum recommended,best place dimsum freak although bit pricy taste worth nice n cozy ambience crowded night environment ok food considered good best quality food varies different outlet
"Dolly Dim Sum, NU Sentral",price,4,extremely disappointed w e cashier named danny singapore one malaysia ever travel much often ever checked ringgit note pay authenticity guy took good whole sec extremely disappointed w e cashier named danny singapore one malaysia ever travel much often ever checked ringgit note pay authenticity guy took good whole sec scrutinise e ringgit note paid spoilt day seriously effing rude behaviour tbh enuf cash wallet pay pax banquet restuarant wat f thinking fancy price fancy food,fancy price fancy food halal dim sum much get service atmosphere good price expensive dim sum meal
Din Tai Fung 鼎泰豐 at 1 Utama Shopping Centre,food,30,delicious food good service service good food wise need mention taste good,shrimp fried rice still best delicious food good service
Din Tai Fung 鼎泰豐 at 1 Utama Shopping Centre,service,33,good food good service worth visit good food come extremely good service,great food service always good food good service worth visit
Din Tai Fung 鼎泰豐 at 1 Utama Shopping Centre,atmosphere,3,quality siew loong pau consistent good particularly liked lau sar pau salted egg custard bun creamy interior spot careful first bite creamy paste quite hot may spill liked set restaurant spacious hence comfortable everyone move stroller food hearty simple consistent although bit pricey,liked set restaurant spacious hence comfortable everyone move stroller food hearty simple consistent although bit pricey one frequent place one utama located little bit away less crowded typically except weekend food quality remain since shop open
Din Tai Fung 鼎泰豐 at 1 Utama Shopping Centre,price,9,good food expensive food good price cost,food good price cost good food expensive
ABC Bistro Cafe,food,32,nice spicy food n good tea waiter nice food surprisingly delicious,really like nasi kandar combined fried fish delicious open hour also serve nasi biryani okay place located kl sentral near nu sentral mall nice spicy food n good tea
ABC Bistro Cafe,service,10,food ok service fast nice food good service,great lepak place need focus hygiene service okay slow peak hour price affordable staff helpful try lepak lepak nice food good service
ABC Bistro Cafe,atmosphere,5,abc bistro cafe one best indian restaurant kuala lumpur best nasi kandar ever tasted kuala lumpur always visit abc bistro visiting kl ever stay easy hotel got free breakfast abc abc bistro cafe one best indian restaurant kuala lumpur best nasi kandar ever tasted kuala lumpur always visit abc bistro visiting kl ever stay easy hotel got free breakfast abc bistro cafe place cozy price affordable one portion nasi kandar canai telur ice limau rm staff kind restaurant area clean get reach restaurant monorail station use lift escalator restaurant located beside easy hotel restaurant located opposite kl sentral monorail entrance next easy hotel popular lunch hour usually short queue get served try nasi briyani ayam masak merah guaranteed restaurant located opposite kl sentral monorail entrance next easy hotel popular lunch hour usually short queue get served try nasi briyani ayam masak merah guaranteed tasty actually shop split side alley take note st shop next monorail wi fi satellite tv unlike similar mamak restaurant,abc bistro cafe one best indian restaurant kuala lumpur best nasi kandar ever tasted kuala lumpur always visit abc bistro visiting kl ever stay easy hotel got free breakfast abc abc bistro cafe one best indian restaurant kuala lumpur best nasi kandar ever tasted kuala lumpur always visit abc bistro visiting kl ever stay easy hotel got free breakfast abc bistro cafe place cozy price affordable one portion nasi kandar canai telur ice limau rm staff kind restaurant area clean get reach restaurant monorail station use lift escalator restaurant located beside easy hotel typical hour mamak clean decent food bit pricey though lot seating
ABC Bistro Cafe,price,17,good food average price good service clean restaurant good food affordable price course,good food average price boost e pay available
Marta's Kitchen @ Hartamas,food,45,nice spanish food generous portion come food delicious wide choice paella pasta dessert drink,nice spanish food generous portion come enjoyable tapa dinner marta food standard taste maintained well average galician octopus average bad texture alright lacked flavour iberico manchego platter good paired well enjoyable tapa dinner marta food standard taste maintained well average galician octopus average bad texture alright lacked flavour iberico manchego platter good paired well tomato spread bread prawn garlic evoo always must order prawn cooked perfectly flavourful iberico rib bone tender juicy yummy definitely one signature must order also ordered another special stewed iberico pork cheek red wine sauce meat tender sauce taste excellent portion could slightly larger croquetas jamon bechamel sauce really yummy must paella valencia also really flavourful rich taste seafood broth rice texture could slightly firm overall still comforting delicious churros freshly prepared crispy side less chewy taste good basque burnt cheese cake sweet palette service could slow expected due large crowd especially peak hour hence advice book ahead arrive early still one best place town good selection drink authentic spanish food
Marta's Kitchen @ Hartamas,service,32,good food good service excellent food excellent service,far best spanish restaurant wide selection tapa excellent paella pasta staff helpful attentive good food good service
Marta's Kitchen @ Hartamas,atmosphere,13,good food ambience proper spanish food love iberico pork rib love environment restaurant super busy dinner time make sure make reservation going love environment restaurant super busy dinner time make sure make reservation going food great employee attentive sang quite good birthday song hehees,love environment restaurant super busy dinner time make sure make reservation going love environment restaurant super busy dinner time make sure make reservation going food great employee attentive sang quite good birthday song hehees better book going get really crowded till queue around pm weekend ambience nice service great lot choice tapa might small serving
Marta's Kitchen @ Hartamas,price,4,excellent spanish restaurant spacious casual tapa paella highlight price reasonable portion adequate service exemplary waiter even went skydeck pay excellent spanish restaurant spacious casual tapa paella highlight price reasonable portion adequate service exemplary waiter even went skydeck pay parking visit best spanish joint town overrated say one authentic spanish restaurant kl outside spain prawn garlic oil meatball croquette calamari paella everything best spanish joint town overrated say one authentic spanish restaurant kl outside spain prawn garlic oil meatball croquette calamari paella everything dish definitely coming back pro tip parking hour rm flat anything per hour waiter also help pay parking behalf forget ask help,excellent spanish restaurant spacious casual tapa paella highlight price reasonable portion adequate service exemplary waiter even went skydeck pay excellent spanish restaurant spacious casual tapa paella highlight price reasonable portion adequate service exemplary waiter even went skydeck pay parking visit best spanish joint town overrated say one authentic spanish restaurant kl outside spain prawn garlic oil meatball croquette calamari paella everything best spanish joint town overrated say one authentic spanish restaurant kl outside spain prawn garlic oil meatball croquette calamari paella everything dish definitely coming back pro tip parking hour rm flat anything per hour waiter also help pay parking behalf forget ask help
THE TOKYO RESTAURANT.,food,44,service excellent food taste good look burnt cheesecake must service excellent food taste good look burnt cheesecake must celebrated ryan st birthday th august given complimentary shochu drink revisited coffee cake st oct shoyu garlic chicken taste delicious course original cheesecake amazing matcha cheesecake tad heavy thick,people come dessert several delicious choice dessert signature cheese cake taste good people come dessert several delicious choice dessert signature cheese cake taste good drink good well one full menu alcohol non alcohol choose price somewhat high good quality service ok new time enjoy restaurant floor lgf market open one spot sale take away cheese cake even cream take way love umami fry age chicken cheesecake star recommended like fusion japanese food
THE TOKYO RESTAURANT.,service,29,first time luncheon great service nice food nice environment good service nice food tried cheese cake seafood spaghetti two person good,cheesecake best far tasted seriously worth trying near place staff attentive friendly well would drop someday cheesecake nice environment good service nice food tried cheese cake seafood spaghetti two person good
THE TOKYO RESTAURANT.,atmosphere,11,came visit hearing great stuff mentaiko pasta cheesecake pasta okay chessecake really good possibly best town bake cheese cake rather set cheesecake came visit hearing great stuff mentaiko pasta cheesecake pasta okay chessecake really good possibly best town bake cheese cake rather set cheesecake still really smooth served whipped cream cut strong flavour profile cheesecake overall great ambience decent food love cheese cake lot delicious n must u need order ambience relax n comfortable coffe time,best burned cheesecake ever tasted really even indonesia never found delicious cheese cake like one best place comfortable quite romantic dinner love tonkatsu tonkatsu anzu service pretty good clean comfortable environment small decent price slightly average come rm set desert definitely recommended love tonkatsu tonkatsu anzu service pretty good clean comfortable environment small decent price slightly average come rm set desert definitely recommended homemade almond tofu white coffee pudding must try kid set rm set non halal restaurant
THE TOKYO RESTAURANT.,price,13,cheesecake worth rm per slice additional ice creamits casual cheesecake high price went famous cheesecake slightly famous tiramisu good especially cheesecake best cheesecake far tasted term texture fluffiness density price slightly went famous cheesecake slightly famous tiramisu good especially cheesecake best cheesecake far tasted term texture fluffiness density price slightly higher mainstream cheesecake slice saw bakery dessert shop worth value,good place nice food nice enviroment important cheap price must try famous super duper delicious burnt cheese cake add ice cream side umami fry super duper yummy say everything menu superb love food cheesecake much either original matcha best cheesecake town love food cheesecake much either original matcha best cheesecake town dinner always good enough one dish perfectly fine small eater price high end worth value flat rate parking available rm weekend lot
Sangeetha Veg Restaurant,food,49,tasty food best vegetarian indian food,good taste best vegetarian indian food
Sangeetha Veg Restaurant,service,10,good service loved food service,loved food service good service
Sangeetha Veg Restaurant,atmosphere,4,clean good authentic indian veg food however cost high good indian vegetarian restaurant kl ordered idli dosa vada south indian thali atmosphere good,good food cozy environment reasonable price clean good authentic indian veg food however cost high
Sangeetha Veg Restaurant,price,9,good food bit expensive ok veggie bit expensive,good food bit expensive centrally located hygienic ambience ok price reasonable within budget
UROKO Japanese Cuisine,food,24,great food authentic japanese food tasty food good service,tasty food good service great date night family dinner fresh amazing food avoid dinner set instead order type sashimi maki yakitori dish share wanted try foie gras maki already sold definitely back one
UROKO Japanese Cuisine,service,30,good food service service food good,good food service first time friend recommend say expensive fresh try day ago place nice friendly staff best salad salmon ball salad something new back next
UROKO Japanese Cuisine,atmosphere,18,nice food ambience food quality service good nice cozy environment,nice food ambience food quality service good nice cozy environment
UROKO Japanese Cuisine,price,14,great set lunch food fresh price reasonable price affordable service good,good japanese food price high side great set lunch food fresh price reasonable
"Nam Heong Vintage, Pavilion Elite",food,35,food delicious nice environment tasteless chicken rice chicken cooked,good service nice environment delicious food hor fun chicken rice amazing
"Nam Heong Vintage, Pavilion Elite",service,27,good service nice food food ok service also fast,good service nice food disappointed bad service food worth price ordered less sweet white coffee still extremely sweet staff keep away cup coffee still finish drink also warned u push table affect connection ordering ipad unpleasant face
"Nam Heong Vintage, Pavilion Elite",atmosphere,10,nice food environment good environment good food,nice food environment restaurant nice ambience good food
"Nam Heong Vintage, Pavilion Elite",price,10,price cheap place nice food ok good food good service good value money,price cheap place nice food ok service slow food taste special unique coffee egg tart bad egg tart price bit higher market price worth money
Menya Shi-Shi Do,food,74,nice ramen texture choice soup base ramen similar taste ramen ate okinawa especially theblack garlic flavour highly recommended miss japanese ramen dearly like portion big,authentic ramen shop tasted black garlic spicy pepper ramen shiro ramen broth rich tasty portion nice staff really friendly responsive price range rm onwards per dish authentic ramen shop tasted black garlic spicy pepper ramen shiro ramen broth rich tasty portion nice staff really friendly responsive price range rm onwards per dish reasonable lot variety soup restaurant get packed waiting hour lunch dinner ramen person probably one better ramen place tried better ippudo opinion ramen person probably one better ramen place tried better ippudo opinion noodle good bite recommended try yaki buta ramen triple flavor kuro aka thunder bbq pork thick tender personally prefer double flavour ramen kuro aka flavourful come bbq pork meat seems always queue hour day one long wait probably best come peak hour
Menya Shi-Shi Do,service,13,nice ramen hopefully staff friendly avoid long queue weekend lunch time ramen taste good like black garlic basil ramen staff friendly polite,avoid long queue weekend lunch time ramen taste good like black garlic basil ramen staff friendly polite wait almost hour get seated good impatient ppl ramen nice reasonably priced broth super thick liking worth try
Menya Shi-Shi Do,price,9,good affordable ramen beat store charge way great ramen excellent ramen best ever tasted date importantly reasonable price,superb ramen fairly reasonable price place requires introduction ramen aficionado great selection ramen suit ramen lover need however check timing visiting place restaurant constantly packed average waiting time go beyond minute peak hour one best ramen kl even price reflects quality quite well one best ramen kl even price reflects quality quite well well except lunch set bit pricy considering gave one slide cha syou rm place price could gave two slice yes know gave salad free flow green tea side compliment still almost perfect lunch set ramen shop jaya one many working men woman hunting lunch place great staff polite professional highly recommended visit try awesome ramen p tried black soup based ramen
La Risata Bar Pizzeria Ristorante (Damansara),food,40,wide selection delicious italian food tasty italian food one best pizza klang valley,tasty italian food one best pizza klang valley service good food delicious wine selection ambience shop nice
La Risata Bar Pizzeria Ristorante (Damansara),service,26,love good foodgood service bad service price food nice,food alright service let rate star one female staff really rude sounded like owns place yuck food pretty good service could efficient faster
La Risata Bar Pizzeria Ristorante (Damansara),atmosphere,11,cozy place dine find food fantastic nice food great n cozy environment fair price quality served,really good food nice cozy ambiance parking little tricky come wrong time well worth noisy environment need shout talk even switch music loud considerate food feel overrated
La Risata Bar Pizzeria Ristorante (Damansara),price,12,price affordable service good great pizza n authentic pasta reasonable pasta,great ambience good italian food reasonable price quality still favourite classy dining place bangsar pj area worth every penny paid vongole pasta amount clam ridiculous really delicious service great ambience great
BBQ Thai (OKR) Sdn Bhd,food,52,food taste food damn nice like food taste,heard lot place finally came supposedly authentic thai food tom yam sweeter side papaya salad bit spicy eat much spice please tell ask egg like heard lot place finally came supposedly authentic thai food tom yam sweeter side papaya salad bit spicy eat much spice please tell ask egg like chinese shop fried chicken powered ginger pad thai good coconut water good fresh young coconut staff order mixed table next u arrived min u food u food also arrive came tom yam soup came last asked waiter slight disappointment hype food taste
BBQ Thai (OKR) Sdn Bhd,service,16,nice food n service nice place food ok staff fantastic,nice food n service food good staff also friendly try bbq pork
BBQ Thai (OKR) Sdn Bhd,atmosphere,19,pricey thai food nice ambience great atmosphere nice food,pricey thai food nice ambience nice environment good food average price
BBQ Thai (OKR) Sdn Bhd,price,9,nice affordable price thai food slow food expensive yet nice eat,food good price slightly higher range slow food expensive yet nice eat
Chili's 1 Utama,food,39,love food good place feel like western food portion big taste ok,love food good place feel like western food portion big taste ok
Chili's 1 Utama,service,44,service quite good go food good service good food great place dine,good lunch special friendly staff recommended good service good food great place dine
Chili's 1 Utama,atmosphere,7,good environment good food good food environment music also,place super packed time love food choice expensive think kid eat free every main atmosphere really rustic homely feel matter dining place super packed time love food choice expensive think kid eat free every main atmosphere really rustic homely feel matter dining got table accommodate manager server pleasant obliging love accepts debit cash good environment good food
Chili's 1 Utama,price,3,popular western restaurant kl serf great food affordable price good looking nice western food price point abit expensive similar chilli malaysia,good looking nice western food price point abit expensive similar chilli malaysia popular western restaurant kl serf great food affordable price
Table9,food,39,delicious good korean italian food great taste food deco,went friend dinner salmon unique taste tangerine quite sweet smoked salmon salad honey lime dressing hit spot appetizer sphagetti pesto sauce nice went friend dinner salmon unique taste tangerine quite sweet smoked salmon salad honey lime dressing hit spot appetizer sphagetti pesto sauce nice chef accommodate chicken breast sphagetti overall taste bud definitely pampered uniqueness variety menu worth trying delicious good korean italian food
Table9,service,25,great service nice food nice environment good service,great service nice food decent food cozy environment staff friendly non busy hour
Table9,atmosphere,19,nice ambiance good food good food ambience,nice ambiance good food time service really great food good environment noisy play loud music good place work well
Table9,price,3,u r looking good food skip cost sure cafe underrated crowd usual food totally good like hidden gem telawi area many choice reasonable price nice ambience recommended definitely come,sure cafe underrated crowd usual food totally good like hidden gem telawi area many choice reasonable price nice ambience recommended definitely come u r looking good food skip cost
Williams Corner,food,73,big portion food average taste big portion food amazing taste,big portion food average taste good food great service menu would much better
Williams Corner,service,11,owner served u specify portion huge ordered food good service improved worst restaurant ever shouldnt even called restaurant hideous dirty restaurant corridor shoplot called waiter order food didnt entertain u gave u look one even gave worst restaurant ever shouldnt even called restaurant hideous dirty restaurant corridor shoplot called waiter order food didnt entertain u gave u look one even gave u disgusting look without reason waited literally one hour lying still havent ordered yet,worst cistomer service ever repeat order time different waiter suggest food unnecessarily lying first asked got nan plain said cheese nan later different customer asked say got heck shop need closed owner served u specify portion huge ordered food good service improved
Williams Corner,atmosphere,2,even picture taking spaghetti meatball im highly recommended u eat nsi goreng ketam best place much cleaner government ask clean price high food pretty alright recommended late lazy go elsewhere,even picture taking spaghetti meatball im highly recommended u eat nsi goreng ketam best place much cleaner government ask clean price high food pretty alright recommended late lazy go elsewhere
Williams Corner,price,13,superb tasty food worth price never go western food menu provided price unknown food cost food worth environment either way pricey,superb tasty food worth price food portion huge ask order price super expensive meal cost rm
After Black,food,40,great food love cake chicken place cosy good service food nice good price nothing amazing taste,great food love cake chicken place cosy good service food nice good price nothing amazing taste
After Black,service,20,good food friendly staff great service great food,good food friendly staff nice coffee however reason place sat large round table foul smell akin garbage turned meat strong easily ignored problem service aesthetic
After Black,atmosphere,10,good food good people good ambience food nice cozy n noisy time,food nice cozy n noisy time good food good people good ambience
After Black,price,23,good food reasonable price food good price reasonable set worth,good food reasonable price would say back best place around sunway area serf breakfast lunch dinner well affordable
Secret Of Louisiana at the lake,food,37,quite good spaghetti buffet tasty food waitress nice environment comfort tasty food waitress nice environment comfortspaghetti buffet,famous buffet style spaghetti every meal come drink bread mushroom soup lot spaghetti choice sure one suit taste staff friendly service good food preparation time reasonable find nice place dinner especially cooling night lake food good filling find nice place dinner especially cooling night lake food good filling smoked duck mango salad rm creamy escargot rm really good starter shared among u seafood jambalaya rm tasty rice overcooked also ordered fillet mignon rm turned slight bit seasoned thickness still good nonetheless tried angus beef rm well good
Secret Of Louisiana at the lake,service,42,romantic place nice food superb service service quite poor food average,greeting writing person incharge took care u would like highlight one waiter would like give written compliment name mr alam gave u warm welcome make u feel greeting writing person incharge took care u would like highlight one waiter would like give written compliment name mr alam gave u warm welcome make u feel comfortable friendly help u take picture without hesitation overall good staff deserve appreciated besides indeed lovely place perfect dinner date night thank romantic place nice food superb service
Secret Of Louisiana at the lake,atmosphere,11,good atmosphere suitable party food good cant believe hidden place nice view nice food,place quite priceythe view blocked darknessbut environment cozy nicethe cocktail good good atmosphere suitable party food good
Secret Of Louisiana at the lake,price,11,great place hangout lake good meal food great price reasonable canopy seating lake wonderful took wife place always wanted try food place reserved place via whatsapp since first time got seat lake pay additional rm book seat took wife place always wanted try food place reserved place via whatsapp since first time got seat lake pay additional rm book seat lake getting place fine parking need pay rm per hour food mostly western fan occasion every dish ordered extremely salty grill mix platter side lamb chicken shrimp fish worth price lamb good rest waste would give place star food quality improves doubt back anytime soon,planned surprise birthday celebration mini lake house need pay extra rm book mini lake house come decoration well food good per pax cost rm decent meal hidden gem kelana jaya went pasta buffet say quite ok price n presentation food got always nice saw table received dunno went pasta buffet say quite ok price n presentation food got always nice saw table received dunno trick u asked ice cream u end buffet ask pasta yeah mentioned worry oh free flow ice cream hmm think return fast st visit la
